depot,service_number,product,avg_seats_per_bus,route,dep_time,arr_time,planned_kms,planned_trips,planned_per_trip,breakeven_cpk,can_be_cancelled
WARANGAL-II,MPT2,PO,55,BYAKAPET,05:50,19:15,380,4,95,35.79,0
WARANGAL-II,BPL4,PE,51,HNK-BHPL,08:30,19:30,412,4,103,35.79,0
WARANGAL-II,BPL3,PE,51,HNK-BHPL,09:00,20:00,412,4,103,35.79,0
WARANGAL-II,ENR5,PE,51,HNK-ENR,10:15,22:05,440,4,110,35.79,0
WARANGAL-II,CNR1,PE,51,HNK-ENR,08:20,20:45,440,4,110,35.79,0
WARANGAL-II,ENR9,PE,51,HNK-ENR,10:30,22:10,440,4,110,35.79,0
WARANGAL-II,BL04,PE,51,HNK-ENR,08:10,20:25,440,4,110,35.79,0
WARANGAL-II,ENR4,PE,51,HNK-ENR,09:30,21:50,440,4,110,35.79,0
WARANGAL-II,CNR2,PE,51,HNK-ENR,06:10,18:40,440,4,110,35.79,0
WARANGAL-II,EN02,PE,51,HNK-ENR,05:50,17:35,440,4,110,35.79,1
WARANGAL-II,ES19,EH,41,HNK-HYD,11:30,09:15,550,4,137.5,39.8,0
WARANGAL-II,ES17,EH,41,HNK-HYD,10:45,08:30,550,4,137.5,39.8,0
WARANGAL-II,ES07,EH,41,HNK-HYD,06:15,20:45,532,4,133,39.8,0
WARANGAL-II,ES09,EH,41,HNK-HYD,07:00,21:30,532,4,133,39.8,0
WARANGAL-II,ES03,EH,41,HNK-HYD,04:30,19:15,532,4,133,39.8,0
WARANGAL-II,ES21,EH,36,HNK-HYD,12:00,11:00,532,4,133,39.8,0
WARANGAL-II,ES12,EH,41,HNK-HYD,08:45,23:45,532,4,133,39.8,0
WARANGAL-II,ES08,EH,41,HNK-HYD,06:45,21:15,532,4,133,39.8,0
WARANGAL-II,ES01,EH,41,HNK-HYD,04:00,18:30,532,4,133,39.8,0
WARANGAL-II,ES11,EH,41,HNK-HYD,08:15,22:45,532,4,133,39.8,0
WARANGAL-II,ES13,EH,41,HNK-HYD,09:15,00:15,532,4,133,39.8,0
WARANGAL-II,ES06,EH,41,HNK-HYD,06:00,20:30,532,4,133,39.8,0
WARANGAL-II,ES02,EH,41,HNK-HYD,04:15,18:45,532,4,133,39.8,0
WARANGAL-II,ES05,EH,41,HNK-HYD,05:30,20:00,532,4,133,39.8,0
WARANGAL-II,ES04,EH,41,HNK-HYD,05:00,19:30,532,4,133,39.8,0
WARANGAL-II,ES16,EH,41,HNK-HYD,10:15,08:00,550,4,137.5,39.8,1
WARANGAL-II,ES20,EH,41,HNK-HYD,12:00,09:30,550,4,137.5,39.8,0
WARANGAL-II,ES15,EH,41,HNK-HYD,10:00,07:30,550,4,137.5,39.8,0
WARANGAL-II,ES18,EH,41,HNK-HYD,11:00,09:00,550,4,137.5,39.8,0
WARANGAL-II,ES14,EH,41,HNK-HYD,09:45,05:30,550,4,137.5,39.8,0
WARANGAL-II,ES10,EH,41,HNK-HYD,07:30,22:00,532,4,133,39.8,0
WARANGAL-II,EX17,EE,54,HNK-HYD,08:30,07:20,532,4,133,39.8,0
WARANGAL-II,EX11,EE,54,HNK-HYD,08:00,23:20,532,4,133,39.8,0
WARANGAL-II,EX04,EE,54,HNK-HYD,05:40,21:00,532,4,133,39.8,0
WARANGAL-II,EX03,EE,54,HNK-HYD,05:20,20:30,532,4,133,39.8,0
WARANGAL-II,EX09,EE,54,HNK-HYD,07:20,22:40,532,4,133,39.8,0
WARANGAL-II,EX16,EE,54,HNK-HYD,09:00,07:00,532,4,133,39.8,0
WARANGAL-II,EX22,EE,54,HNK-HYD,12:30,09:00,550,4,137.5,39.8,1
WARANGAL-II,EX07,EE,54,HNK-HYD,06:40,22:00,532,4,133,39.8,0
WARANGAL-II,EX01,EE,54,HNK-HYD,06:00,19:30,532,4,133,39.8,0
WARANGAL-II,EX10,EE,54,HNK-HYD,07:40,23:00,532,4,133,39.8,0
WARANGAL-II,EX12,EE,54,HNK-HYD,10:30,23:40,550,4,137.5,39.8,0
WARANGAL-II,EX02,EE,54,HNK-HYD,05:00,20:00,532,4,133,39.8,0
WARANGAL-II,EX14,EE,54,HNK-HYD,12:30,00:30,550,4,137.5,39.8,0
WARANGAL-II,EX08,EE,54,HNK-HYD,07:00,22:20,532,4,133,39.8,0
WARANGAL-II,EX19,EE,54,HNK-HYD,11:20,08:00,550,4,137.5,39.8,0
WARANGAL-II,EX18,EE,54,HNK-HYD,11:00,07:40,550,4,137.5,39.8,0
WARANGAL-II,EX13,EE,54,HNK-HYD,11:30,00:00,550,4,137.5,39.8,0
WARANGAL-II,EX06,EE,54,HNK-HYD,06:20,21:40,532,4,133,39.8,0
WARANGAL-II,EX05,EE,54,HNK-HYD,06:00,21:20,532,4,133,39.8,0
WARANGAL-II,EX15,EE,54,HNK-HYD,10:00,01:00,550,4,137.5,39.8,0
WARANGAL-II,EX20,EE,54,HNK-HYD,11:40,08:20,550,4,137.5,39.8,1
WARANGAL-II,EX21,EE,54,HNK-HYD,12:00,08:40,550,4,137.5,39.8,1
WARANGAL-II,ED12,ED,45,HNK-HYD,08:45,23:45,532,4,133,39.8,0
WARANGAL-II,ED03,ED,45,HNK-HYD,05:45,20:45,532,4,133,39.8,0
WARANGAL-II,ED15,ED,45,HNK-HYD,10:30,08:15,550,4,137.5,39.8,0
WARANGAL-II,ED35,ED,45,HNK-HYD,03:30,09:15,532,4,133,39.8,0
WARANGAL-II,ED11,ED,45,HNK-HYD,08:30,23:30,532,4,133,39.8,0
WARANGAL-II,ED17,ED,45,HNK-HYD,11:45,09:00,550,4,137.5,39.8,0
WARANGAL-II,ED08,ED,45,HNK-HYD,07:30,22:30,532,4,133,39.8,0
WARANGAL-II,ED04,ED,45,HNK-HYD,06:00,21:00,532,4,133,39.8,0
WARANGAL-II,ED36,ED,45,HNK-HYD,03:50,21:30,532,4,133,39.8,0
WARANGAL-II,ED10,ED,45,HNK-HYD,08:00,22:30,532,4,133,39.8,0
